agcy_name,org_name,org_name_level,id_number,location,title,name_of_incumbent,type_of_appt,type_of_appt_full,pay_plan,pay_plan_full,level_grade_or_pay,tenure,expires
DEPARTMENT OF COMMERCE,,,10557,"Washington, DC",Special Assistant,Samuel Pepper,SC,Schedule C Excepted Appointment,GS,General Schedule,9,,
DEPARTMENT OF COMMERCE,OFFICE OF BUSINESS LIAISON,3,10558,"Washington, DC","Director, Office of Business Liaison",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10559,"Washington, DC","Director, Office of Business Liaison",William Patrick Wilson,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10560,"Washington, DC","Deputy Director, Office of Business Liaison",Kelly Rzendzian,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF COMMERCE,,,10561,"Washington, DC",Senior Advisor for Policy and Engagement,Grant Gardner,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF COMMERCE,OFFICE OF PUBLIC AFFAIRS,3,10562,"Washington, DC",Director of Public Affairs,Meghan Burris,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10563,"Washington, DC",Director of Speechwriting and Senior Advisor,Richard McCormack,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10564,"Washington, DC",Deputy Press Secretary,Caitlin Jean Davis,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF COMMERCE,,,10565,"Washington, DC",Press Assistant,Caroline Tucker,SC,Schedule C Excepted Appointment,GS,General Schedule,7,,
DEPARTMENT OF COMMERCE,OFFICE OF THE CHIEF INFORMATION OFFICER,3,10566,"Washington, DC",Chief Information Officer,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,OFFICE OF LEGISLATIVE AND INTERGOVERNMENTAL AFFAIRS,3,10567,"Washington, DC",Assistant Secretary for Legislative and Intergovernmental Affairs,Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF COMMERCE,,,10568,"Washington, DC",Director of Intergovernmental Affairs,Anthony Foti,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10569,"Washington, DC",Deputy Director of Legislative Affairs,Lawson Kluttz,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF COMMERCE,,,10570,"Washington, DC",Associate Director for Legislative Affairs,Harry Kumar,SC,Schedule C Excepted Appointment,GS,General Schedule,12,,
DEPARTMENT OF COMMERCE,,,10571,"Washington, DC",Legislative Affairs Specialist,Eileen M Dombrowski,SC,Schedule C Excepted Appointment,GS,General Schedule,9,,
DEPARTMENT OF COMMERCE,,,10572,"Washington, DC",Intergovernmental Affairs Specialist,Diego-Christopher Lopez,SC,Schedule C Excepted Appointment,GS,General Schedule,7,,
DEPARTMENT OF COMMERCE,,,10573,"Washington, DC",Confidential Assistant,Duncan McGaan,SC,Schedule C Excepted Appointment,GS,General Schedule,7,,
DEPARTMENT OF COMMERCE,OFFICE OF DEPUTY ASSISTANT SECRETARY FOR LEGISLATIVE AND INTERGOVERNMENTAL AFFAIRS,3,10574,"Washington, DC",Deputy Assistant Secretary for Legislative and Intergovernmental Affairs,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,OFFICE OF THE GENERAL COUNSEL,3,10575,"Washington, DC",General Counsel,Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF COMMERCE,,,10576,"Washington, DC",Deputy General Counsel,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10577,"Washington, DC",Deputy Assistant General Counsel for Administration and Transactions,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10578,"Washington, DC",Assistant General Counsel for Administration and Transactions,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10579,"Washington, DC","Chief, Employment and Labor Law Division",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10580,"Washington, DC","Assistant General Counsel for Employment, Litigation, and Information Law",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10581,"Washington, DC",Assistant General Counsel for Legislation and Regulation,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10582,"Washington, DC","Assistant General Counsel for Litigation, Employment, and Oversight",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10583,"Washington, DC",Chief Counsel for Trade Enforcement and Compliance,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10584,"Washington, DC","Chief, General Law Division",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10585,"Washington, DC",Chief Counsel for Commercial Law Development Program,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10586,"Washington, DC",Chief Counsel for International Commerce,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10587,"Washington, DC",Chief Counsel for Economic Affairs,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10588,"Washington, DC",Chief Counsel for Industry and Security,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10589,"Washington, DC",Senior Counsel for Special Projects,Stephanie Herbert,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10590,"Washington, DC",Senior Counsel for Special Projects,Sean Brebbia,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10591,"Washington, DC",Senior Counsel,Stephanie Olson,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10592,"Washington, DC",Director of Operations for Special Projects,Meredith Glacken,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF COMMERCE,,,10593,"Washington, DC",Counsel,Paul Zimmerman,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF COMMERCE,,,10594,"Washington, DC",Counsel,Aristidis Kourkoumelis,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF COMMERCE,,,10595,"Washington, DC",Counsel,Ethan Meredith,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF COMMERCE,,,10596,"Washington, DC",Counsel,Benjamin Mehr,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF COMMERCE,,,10597,"Washington, DC",Counsel,Lucy Kelly,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF COMMERCE,,,10598,"Washington, DC",Special Advisor,Mary Cannon,SC,Schedule C Excepted Appointment,GS,General Schedule,12,,
DEPARTMENT OF COMMERCE,,,10599,"Washington, DC",Special Assistant,Robert Burkett,SC,Schedule C Excepted Appointment,GS,General Schedule,11,,
DEPARTMENT OF COMMERCE,,,10600,"Washington, DC",Confidential Assistant,Tristan Youngstrom,SC,Schedule C Excepted Appointment,GS,General Schedule,9,,
DEPARTMENT OF COMMERCE,,,10601,"Washington, DC",Confidential Assistant,Nicholas Laios,SC,Schedule C Excepted Appointment,GS,General Schedule,7,,
DEPARTMENT OF COMMERCE,OFFICE OF THE CHIEF FINANICAL OFFICER AND ASSISTANT SECRETARY FOR ADMINISTRATION,3,10602,"Washington, DC",Chief Financial Officer and Assistant Secretary for Administration,Thomas F Gilman,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF COMMERCE,,,10603,"Washington, DC",Senior Advisor to the Chief Financial Officer and Assistant Secretary for Administration,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10604,"Washington, DC",Deputy Assistant Secretary for Intelligence and Security,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10605,"Washington, DC",Director of Human Resources for Shared Services,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10606,"Washington, DC",Director of Acquisitions for Shared Services,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10607,"Washington, DC","Deputy Project Director, Human Resources Shared Services (Phase III)",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10608,"Washington, DC",Senior Advisor for Bureau Relations,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10609,"Washington, DC",Chief of Staff to the Chief Financial Officer and Assistant Secretary for Administration,Kevin Preskenis,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10610,"Washington, DC",Special Assistant,Katherine Kline,SC,Schedule C Excepted Appointment,GS,General Schedule,9,,
DEPARTMENT OF COMMERCE,,,10611,"Washington, DC",Confidential Assistant,Caroline Zuchold,SC,Schedule C Excepted Appointment,GS,General Schedule,7,,
DEPARTMENT OF COMMERCE,OFFICE OF THE DEPUTY CHIEF FINANCIAL OFFICER FOR FINANCIAL MANAGEMENT,1,10612,"Washington, DC","Director, Financial Management Systems",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,OFFICE OF PRIVACY AND OPEN GOVERNMENT,1,10613,"Washington, DC",Chief Privacy Officer and Director of Open Government,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,OFFICE OF CIVIL RIGHTS,1,10614,"Washington, DC","Director, Office of Civil Rights",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,OFFICE OF THE DEPUTY ASSISTANT SECRETARY FOR ADMINISTRATION,1,10615,"Washington, DC",Deputy Assistant Secretary for Administration,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,TECHNOLOGY ADMINISTRATION,1,10616,"Washington, DC",Director Office Air and Space Commercialization and Special Assistant to the Under Secretary,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,ECONOMICS AND STATISTICS ADMINISTRATION,1,10617,"Washington, DC",Deputy Under Secretary for Economic Affairs,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10618,"Washington, DC",Chief Economist,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10619,"Washington, DC",Counselor for Economic Affairs,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10620,"Washington, DC",Director for External Affairs,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,OFFICE OF THE UNDER SECRETARY FOR ECONOMIC AFFAIRS,3,10621,"Washington, DC",Chief Economist,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10622,"Washington, DC",Under Secretary for Economic Affairs,Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,III,,
DEPARTMENT OF COMMERCE,,,10623,"Washington, DC",Senior Advisor,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10624,"Washington, DC",Confidential Assistant,Kelsey Kilgore,SC,Schedule C Excepted Appointment,GS,General Schedule,9,,
DEPARTMENT OF COMMERCE,OFFICE OF THE DIRECTOR,3,10625,"Suitland, MD",Chief of Communications,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,OFFICE OF THE CHIEF ECONOMIST,3,10626,"Washington, DC",Deputy Chief Economist,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,BUREAU OF THE CENSUS,3,10627,"Washington, DC",Deputy Director for Policy,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10628,"Atlanta, GA","Regional Director, Atlanta Regional Office",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10629,"Boston, MA","Regional Director, Boston Regional Office",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10630,"Charlotte, NC","Regional Director, Charlotte Regional Office",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10631,"Chicago, IL","Regional Director, Chicago Regional Office",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10632,"Denver, CO","Regional Director, Denver Regional Office",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10633,"Detroit, MI","Regional Director, Detroit Regional Office",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10634,"Kansas City, MO","Regional Director, Kansas City Regional Office",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10635,"Los Angeles, CA","Regional Director, Los Angeles Regional Office",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10636,"New York New York, NY","Regional Director, New York Regional Office",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10637,"Seattle, WA","Regional Director, Seattle Regional Office",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,OFFICE OF THE DIRECTOR,1,10638,"Suitland, MD",Director of the Census,Steven D Dillingham,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF COMMERCE,,,10639,"Suitland, MD",Deputy Director,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10640,"Suitland, MD",Chief of Staff,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10641,"Suitland, MD",Senior Advisor to the Deputy Director,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10642,"Suitland, MD",Associate Director for Communications,Ali Ahmad,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10643,"Suitland, MD",Assistant Director for Communications (Operations and Management),Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10644,"Suitland, MD","Assistant Director for Communications (Digital, Marketing, and Strategic Communications)",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10645,"Suitland, MD",Director of Strategic Initiatives,Kevin Quinley,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10646,"Suitland, MD",Chief of Congressional Affairs,Chris Stanley,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,ASSOCIATE DIRECTOR FOR FIELD OPERATIONS,3,10647,"Atlanta, GA","Regional Director, Atlanta",George Grandy Jr.,TA,Limited Term Appointment,ES,Senior Executive Service,,,2021-01-06T00:00:00Z
DEPARTMENT OF COMMERCE,,,10648,"Chicago, IL","Regional Director, Chicago",Marilyn Sanders,TA,Limited Term Appointment,ES,Senior Executive Service,,,2021-01-06T00:00:00Z
DEPARTMENT OF COMMERCE,,,10649,"Dallas, TX","Regional Director, Dallas Regional Office",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10650,"Denver, CO","Regional Director, Denver",Cathy Lacy,TA,Limited Term Appointment,ES,Senior Executive Service,,,2021-01-06T00:00:00Z
DEPARTMENT OF COMMERCE,,,10651,"Los Angeles, CA","Regional Director, Los Angeles",Julie A Lam,TA,Limited Term Appointment,ES,Senior Executive Service,,,2021-04-28T00:00:00Z
DEPARTMENT OF COMMERCE,,,10652,"Los Angeles, CA","Regional Director, Los Angeles",James T Christy,TA,Limited Term Appointment,ES,Senior Executive Service,,,2021-01-06T00:00:00Z
DEPARTMENT OF COMMERCE,,,10653,"New York, NY","Regional Director, New York",Jeff Behler,TA,Limited Term Appointment,ES,Senior Executive Service,,,2021-01-06T00:00:00Z
DEPARTMENT OF COMMERCE,,,10654,"Philadelphia, PA","Regional Director, Philadelphia Regional Office",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10655,"Philadelphia, PA","Regional Director, Philadelphia",Fernando E Armstrong,TA,Limited Term Appointment,ES,Senior Executive Service,,,2021-01-06T00:00:00Z
DEPARTMENT OF COMMERCE,BUREAU OF INDUSTRY AND SECURITY,1,10656,"Washington, DC",Under Secretary of Commerce for Industry and Security,Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,III,,
DEPARTMENT OF COMMERCE,,,10657,"Washington, DC",Deputy Under Secretary for Industry and Security,Cordell Hull,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10658,"Washington, DC",Chief of Staff for Bureau of Industry and Security,Prentiss Lee Smith Jr.,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10659,"Washington, DC",Director of Congressional and Public Affairs,Michael Cys,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10660,"Washington, DC",Policy Advisor,Anne C Teague,SC,Schedule C Excepted Appointment,GS,General Schedule,12,,
DEPARTMENT OF COMMERCE,,,10661,"Washington, DC",Senior Advisor,Donna Ganoe,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF COMMERCE,OFFICE OF THE ASSISTANT SECRETARY FOR EXPORT ENFORCEMENT,1,10662,"Washington, DC",Assistant Secretary for Export Enforcement,Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF COMMERCE,,,10663,"Washington, DC",Assistant Secretary for Export Administration,Richard Ashooh,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF COMMERCE,,,10664,"Washington, DC",Deputy Assistant Secretary for Export Administration,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10665,"Washington, DC","Director, Office of Nonproliferation and Treaty Compliance",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10666,"Washington, DC",Director Office of Exporter Services,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10667,"Washington, DC","Director, Office of National  Strategic and Technology Transfer Controls",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10668,"Washington, DC","Director, Office of Strategic Industries and Economic Security",Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10669,"Washington, DC",Special Advisor,Jessica Curyto,SC,Schedule C Excepted Appointment,GS,General Schedule,14,,
DEPARTMENT OF COMMERCE,ECONOMIC DEVELOPMENT ADMINISTRATION,1,10670,"Washington, DC",Chief of Staff,Dana Gartzke,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10671,"Washington, DC",Director of Recovery Communications,Lauren Elizabeth Gorey,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,OFFICE OF THE ASSISTANT SECRETARY FOR ECONOMIC DEVELOPMENT,3,10672,"Washington, DC",Assistant Secretary of Commerce for Economic Development,John Calvin Fleming Jr.,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF COMMERCE,,,10673,"Washington, DC",Senior Advisor,Randall Gentry,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10674,"Washington, DC",Special Advisor,Clayton Tufts,SC,Schedule C Excepted Appointment,GS,General Schedule,12,,
DEPARTMENT OF COMMERCE,,,10675,"Washington, DC",Director of External Affairs,Joel Frushone,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,OFFICE OF THE DEPUTY ASSISTANT SECRETARY,3,10676,"Washington, DC",Deputy Assistant Secretary for Economic Development,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10677,"Washington, DC",Special Assistant,Mary Hoernig,SC,Schedule C Excepted Appointment,GS,General Schedule,11,,
DEPARTMENT OF COMMERCE,OFFICE OF REGIONAL AFFAIRS,3,10678,"Washington, DC",Deputy Assistant Secretary for Regional Affairs,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,PHILADELPHIA REGIONAL OFFICE,3,10679,"Philadelphia, PA",Philadelphia Regional Director,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,CHICAGO REGIONAL OFFICE,3,10680,"Chicago, IL",Chicago Regional Director,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,AUSTIN REGIONAL OFFICE,3,10681,"Austin, TX",Austin Regional Director,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,ATLANTA REGIONAL OFFICE,3,10682,"Atlanta, GA",Atlanta Regional Director,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,SEATTLE REGIONAL OFFICE,3,10683,"Seattle, WA",Regional Director,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,DENVER REGIONAL OFFICE,3,10684,"Denver, CO",Denver Regional Director,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,INTERNATIONAL TRADE ADMINISTRATION,1,10685,"Washington, DC",Deputy Chief of Staff for Strategic Initiatives,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10686,"Washington, DC",Executive Director for Europe,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10687,"Washington, DC",Senior Advisor for Administrative Modernization,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10688,"Washington, DC",Chief of Staff,Bradley Mckinney,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10689,"Washington, DC","Director, Office of Legislative Affairs",Alexander Stoddard,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10690,"Washington, DC",Advisor,Austin James Sprenger,SC,Schedule C Excepted Appointment,GS,General Schedule,11,,
DEPARTMENT OF COMMERCE,OFFICE OF UNDER SECRETARY,1,10691,"Washington, DC",Under Secretary Oceans and Atmosphere (Administrator National Oceanic and Atmospheric Administration),Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,III,,
DEPARTMENT OF COMMERCE,,,10692,"Washington, DC",Assistant Secretary of Commerce for Oceans and Atmosphere,Timothy Gallaudet,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF COMMERCE,,,10693,"Washington, DC",Assistant Secretary of Commerce for Environmental Observation and Prediction,Neil A Jacobs,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF COMMERCE,,,10694,"Washington, DC",Chief Scientist,Vacant,PA,Presidential Appointment (without Senate Confirmation),EX,Executive Schedule,V,,
DEPARTMENT OF COMMERCE,,,10695,"Washington, DC",Deputy Chief of Staff and Senior Advisor,Julie Roberts,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10696,"Washington, DC",Deputy Chief of Staff for Policy,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10697,"Washington, DC",Director of Policy/Senior Policy Advisor,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10698,"Seattle, WA",Senior Advisor to the Under Secretary National Oceanic Atmospheric Administration,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10699,"Washington, DC",Senior Advisor on Climate to the Under Secretary,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10700,"Washington, DC",Director of Communications,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10701,"Washington, DC","Deputy Director, Office of Communications",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10702,"Washington, DC",Deputy Assistant Secretary for International Fisheries,Andrew Lawler,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10703,"Washington, DC",Chief of Staff for National Oceanic and Atmospheric Administration,Stuart Levenbach,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10704,"Washington, DC",Senior Advisor,Taylor Jordan,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10705,"Washington, DC",Senior Advisor,Erik Noble,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
DEPARTMENT OF COMMERCE,,,10706,"Washington, DC",Policy Advisor,Brandon Elsner,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF COMMERCE,,,10707,"Washington, DC",Policy Advisor,Nicholas Flocken,SC,Schedule C Excepted Appointment,GS,General Schedule,13,,
DEPARTMENT OF COMMERCE,OFFICE OF THE DEPUTY UNDER SECRETARY,1,10708,"Washington, DC",Deputy Under Secretary for International Trade,Joseph C Semsar,NA,Noncareer Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10709,"Washington, DC",Chief Information Officer,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,ASSISTANT SECRETARY FOR ENFORCEMENT AND COMPLIANCE,3,10710,"Washington, DC",Assistant Secretary for Enforcement and Compliance,Jeffrey Kessler,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
DEPARTMENT OF COMMERCE,,,10711,"Washington, DC",Deputy Assistant Secretary for Enforcement and Compliance,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10712,"Washington, DC",Special Assistant,Alex Rankin,SC,Schedule C Excepted Appointment,GS,General Schedule,11,,
DEPARTMENT OF COMMERCE,DEPUTY ASSISTANT SECRETARY FOR AD/CVD OPERATIONS,3,10713,"Washington, DC",Deputy Assistant Secretary for Antidumping and Countervailing Duty Operations,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,DEPUTY ASSISTANT SECRETARY FOR POLICY AND NEGOTIATIONS,3,10714,"Washington, DC","Director, Office of Policy",Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10715,"Washington, DC",Deputy Assistant Secretary for Policy and Negotiations,Vacant,,none included,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,,,10716,"Washington, DC",Executive Director for Trade Agreements Policy and Negotiations,Career Incumbent,CA,Career Appointment,ES,Senior Executive Service,,,
DEPARTMENT OF COMMERCE,ASSISTANT SECRETARY FOR INDUSTRY AND ANALYSIS,3,10717,"Washington, DC",Assistant Secretary for Industry and Analysis,Nazakhtar Nikakhtar,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,IV,,
